Operation,Relative_Time_S,Timestamp_US,Node_ID,Type,Details,Received_Time
,49.2,1767099775441943,2,CYCLE_SYNC,"Cycle=5,From=3,Hop=1,RSSI=-86",2025-12-30 20:02:54.827782
128,49.2,1767099775443206,1,RSSI_LOW,"From:N3,RSSI:-119dBm,Threshold:-115dBm,Status:REJECTED",2025-12-30 20:02:54.826777
129,49.2,1767099775450581,4,BIDIR_LINK,"NodeID:3,RSSI:-78dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:54.825777
130,49.7,1767099775941829,2,BIDIR_LINK,"NodeID:4,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:55.276128
131,49.7,1767099775947240,3,BIDIR_LINK,"NodeID:4,RSSI:-78dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:55.408201
132,50.0,1767099776233266,1,BIDIR_LINK,"NodeID:4,RSSI:-102dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:55.570831
133,50.6,1767099776842231,3,BIDIR_LINK,"NodeID:1,RSSI:-103dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:56.395256
,50.6,1767099776842374,3,CYCLE_SYNC,"Cycle=0,From=1,Hop=0,RSSI=-103",2025-12-30 20:02:56.395256
134,50.6,1767099776845592,4,BIDIR_LINK,"NodeID:1,RSSI:-98dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:56.172678
,50.6,1767099776845708,4,CYCLE_SYNC,"Cycle=0,From=1,Hop=0,RSSI=-98",2025-12-30 20:02:56.395256
