Operation,Relative_Time_S,Timestamp_US,Node_ID,Type,Details,Received_Time
122,29.3,1767187711218279,6,BIDIR_LINK,"NodeID:2,RSSI:-97dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:29.185454
123,29.3,1767187711222535,5,BIDIR_LINK,"NodeID:2,RSSI:-81dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:29.185454
,29.3,1767187711222697,5,CYCLE_VAL,"Cycle=3,Progress=2/3,From=2,RSSI=-81",2025-12-31 20:28:29.185454
124,29.3,1767187711223767,4,RSSI_LOW,"From:N2,RSSI:-121dBm,Threshold:-115dBm,Status:REJECTED",2025-12-31 20:28:29.184452
,29.4,1767187711232896,5,CYCLE_SYNC,"Cycle=3,From=2,Hop=1,RSSI=-81",2025-12-31 20:28:29.185454
125,29.9,1767187711818442,3,BIDIR_LINK,"NodeID:6,RSSI:-68dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:29.709005
126,29.9,1767187711818666,2,BIDIR_LINK,"NodeID:6,RSSI:-92dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:29.711017
127,29.9,1767187711821528,1,BIDIR_LINK,"NodeID:6,RSSI:-102dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:29.707437
128,29.9,1767187711828526,5,BIDIR_LINK,"NodeID:6,RSSI:-93dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:29.707437
,29.9,1767187711828730,5,CYCLE_VAL,"RESET! Got=3,Exp=4,From=6,RSSI=-93",2025-12-31 20:28:29.711017
129,29.9,1767187711829749,4,BIDIR_LINK,"NodeID:6,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:29.707437
,29.9,1767187711829906,4,CYCLE_VAL,"Cycle=3,Progress=2/3,From=6,RSSI=-100",2025-12-31 20:28:29.711017
,30.0,1767187711840114,4,CYCLE_SYNC,"Cycle=3,From=6,Hop=1,RSSI=-100",2025-12-31 20:28:29.717538
130,30.5,1767187712424650,2,BIDIR_LINK,"NodeID:3,RSSI:-95dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:30.410143
131,30.5,1767187712427557,1,BIDIR_LINK,"NodeID:3,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:30.410143
132,30.5,1767187712430292,6,BIDIR_LINK,"NodeID:3,RSSI:-65dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:30.410143
133,30.9,1767187712830868,5,BIDIR_LINK,"NodeID:3,RSSI:-111dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:30.718241
,30.9,1767187712831080,5,CYCLE_VAL,"RESET! Got=2,Exp=4,From=3,RSSI=-111",2025-12-31 20:28:30.719189
,31.0,1767187712841317,5,CYCLE_SYNC,"Cycle=2,From=3,Hop=1,RSSI=-111",2025-12-31 20:28:30.721188
134,31.0,1767187712841909,4,BIDIR_LINK,"NodeID:3,RSSI:-90dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:30.720188
,31.0,1767187712842102,4,CYCLE_VAL,"RESET! Got=2,Exp=4,From=3,RSSI=-90",2025-12-31 20:28:30.721188
,31.0,1767187712852344,4,CYCLE_SYNC,"Cycle=2,From=3,Hop=1,RSSI=-90",2025-12-31 20:28:30.731151
135,32.7,1767187714589458,3,BIDIR_LINK,"NodeID:1,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:32.556618
,32.7,1767187714589682,3,CYCLE_VAL,"RESET! Got=4,Exp=3,From=1,RSSI=-101",2025-12-31 20:28:32.556618
136,32.7,1767187714595295,6,BIDIR_LINK,"NodeID:1,RSSI:-99dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:32.484103
,32.7,1767187714595485,6,CYCLE_SYNC,"Cycle=4,From=1,Hop=0,RSSI=-99",2025-12-31 20:28:32.484103
,32.7,1767187714599904,3,CYCLE_SYNC,"Cycle=4,From=1,Hop=0,RSSI=-101",2025-12-31 20:28:32.556618
137,32.7,1767187714609789,2,RSSI_LOW,"From:N1,RSSI:-122dBm,Threshold:-115dBm,Status:REJECTED",2025-12-31 20:28:32.556618
138,33.1,1767187714935453,3,BIDIR_LINK,"NodeID:4,RSSI:-91dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:32.882125
139,33.1,1767187714935657,2,RSSI_LOW,"From:N4,RSSI:-123dBm,Threshold:-115dBm,Status:REJECTED",2025-12-31 20:28:32.882125
140,33.1,1767187714941289,6,BIDIR_LINK,"NodeID:4,RSSI:-99dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:32.881125
141,33.5,1767187715425446,3,RSSI_LOW,"From:N5,RSSI:-116dBm,Threshold:-115dBm,Status:REJECTED",2025-12-31 20:28:33.383346
142,33.5,1767187715425653,2,BIDIR_LINK,"NodeID:5,RSSI:-85dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:33.318159
143,33.5,1767187715431279,6,BIDIR_LINK,"NodeID:5,RSSI:-98dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:33.382346
144,34.1,1767187716031466,3,BIDIR_LINK,"NodeID:2,RSSI:-85dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:34.037967
145,34.2,1767187716037280,6,BIDIR_LINK,"NodeID:2,RSSI:-85dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:34.037967
146,34.2,1767187716041533,5,BIDIR_LINK,"NodeID:2,RSSI:-88dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:34.037967
,34.2,1767187716041695,5,CYCLE_VAL,"Cycle=3,Progress=2/3,From=2,RSSI=-88",2025-12-31 20:28:34.037967
